p01 | imgs:0 | chars:   38 | Graves / decires / de / aguda / intuición
p48 | imgs:0 | chars: 1304 | Es necesario retomar la senda de la comunidad. Individuos / unidos en pos de un objetivo común, acaso pequeño o de / corto alcance. Cualquier grupo que introduzca mejoras en su / comunidad engrandece a la nación, propone
p49 | imgs:0 | chars: 1303 | organización. Ante la negación constante de lo público como / posibilidad y la falta de participación, crecemos idiotas. / Carecemos de educación en el dominio de lo público, de / anclaje y de un horizonte ideológico des
p50 | imgs:0 | chars: 1023 | el tablero. No son dirigentes: son choferes que sacan patente / para manejar lo que hay, tal como está. / Y con esto no digo que son todos iguales. Digo que son / exactamente proporcionales a los votantes: representantes
p51 | imgs:0 | chars:    2 | 51
p52 | imgs:1 | chars:  458 | Los Nadies / “Sin poder esquivar el dolor ajeno” / Si me estás buscando me encontrarás​ / por el camino que a Luján sigue la procesión,​ / un hogar llamado Jesús de Nazaret​ / calle de tierra, cruzando el paso a nivel Pa
p53 | imgs:1 | chars:  543 | Olvidar​ / Yo sé bien que no podés​ / Como la sociedad olvida​ / que fuiste obligado a marchar en su defensa. / Recordando el mal momento.​ / Atrincherado en tu habitación.​
p54 | imgs:1 | chars:  692 | En la fila tempranera de hospital, / el pueblo soporta la espera buscando sanar. / El desgano evidente del profesional, / motiva el trato prepotente del auxiliar. / Medicina, tu verdad déjame ver. / Toda joven que asista
p55 | imgs:0 | chars:  961 | Sirva otra vuelta, pulpero.​ / Que no soy chancho.​ / Soy bicho que no tiene rancho.​ / Que anda arrastrando penas y alegrías.​ / Y en eso de la repartida, las malas van ganando. / Sirva otra vuelta, pulpero, a ver.​
p56 | imgs:1 | chars:  259 | Que lo que uno tiene, tiene que ganarlo.​ / Por eso es que, con once familias,​ / le hemos ganado, una vez, al Estado.​ / Eso sí que es triste.​ / Pal que no tiene rancho.​ / Ni donde caerse muerto.​
p57 | imgs:1 | chars:  308 | Tengo un amigo!! / Sí / Sí / Amanecer en Open Door. / Legal crucifixión del ser. / Sin tener familiares que vengan a reclamarme.
p58 | imgs:1 | chars:  679 | Regresando, donde duermen mis huesos. / El sol, con su cachetada, sacude mi plexo. / Obligándome a reflexionar en que nadie me espera, / Y en qué corta es la vida de muchachos calaveras. / Largas son las horas, cuando ma
p59 | imgs:1 | chars:  295 | Desarrollo de la subjetividad / La libertad individual / “Encuentra ya el camino a seguir. / Los rostros del mal están cuidando que no te apartes de sus filas / Estúpidos son sus argumentos, para que tu ofrendes la vida.
p60 | imgs:1 | chars:  910 | Hoy desperté, a un nuevo día de esta cruenta realidad​ / que nos imponen, ante su gozo, fuerzas siniestras del mal. / Masturbando mi mente con lo inmoral.​ / Quitándome el tiempo a pensar / en expulsar de mi mente, su se
p61 | imgs:1 | chars:  857 | Ajeno al tiempo se que quisieras seguir / Pero mil voces te ahogan para que formes la cola del seguro / porvenir. / Por eso te vi escapando en las horas sin sol / De las miradas oscuras que aprobaron las torturas del fug
p62 | imgs:1 | chars:  421 | Vamos, che / ¿por qué dejar que tus sueños se desperdicien? / Si no sos vos, será muy triste / ¿Por qué falsear? si ser uno es ganar / ¿Por qué engañarse y mentirse? / Yo sé, dirás: "muy duro es aguantar"
p63 | imgs:1 | chars:  728 | Seres dañados sujetos al mal​ / Mutilaron a quien quiso amar, cambiar, renovar / o tan solo reír / Con falsas historias, quisieron callar las almas / que en la inmensidad del mar​ / ahogaron el grito que desvaneció su vi
p64 | imgs:1 | chars:   71 | “Lo soñamos ayer / Y lo cumplimos hoy” / La libertad de todos / 64
p65 | imgs:2 | chars:  523 | "Salir de gira, para llevarte en vivo el concierto, exalta mi vida / Cumple con lo que fue mi deseo / Cuando ya lejos de la ciudad central, / los horizontes me ven rutas saldar / Para llegar / y mostrar que soy quien qui
p66 | imgs:1 | chars:  526 | Hoy... Hoy es / Yo convidándote a mi fiesta estoy / Metal pesado, argento, de vientos fueguinos. / Sé que los vecinos se quejarán, / no te cortés si la patrulla está en la puerta / Si no hay ortiva, todo va a estar bien​
p67 | imgs:1 | chars:  673 | “Desde el maestro, a su alumnado / Desde los padres, hasta sus hijos / Desde el predicador, hasta sus fieles / Desde el curador, hasta el paciente / Y todo lo que humanamente pueda ser / Incorregibles nubes de hampa
p68 | imgs:1 | chars:  600 | Orgullo argentino quiero expresar / Con este recite que supe heredar / Por ser quien no olvida y no ha de olvidar / Patria, bandera y sentir nacional. / No te enganchés con la ficción / Arma que esgrime el mentidor
p69 | imgs:1 | chars:  833 | Se va la vida y el tiempo a perder / Es una espina que intento quitarme / Y así mi herida cerrada tal vez / Me dé la dicha de mil libertades / Desde temprano se puso a ladrar mi perro interno que morder / no sabe
p70 | imgs:0 | chars: 1251 | Las redes sociales son estructuras de manipulación. Su uso / como consumidor es potencialmente peligroso. Someterse / cotidianamente a su distracción condiciona nuestra atención / y acostumbra al cerebro a una recompensa
p71 | imgs:0 | chars: 1164 | aprender. / Consume / energía, / no / es / necesariamente
p72 | imgs:0 | chars: 1100 | La / felicidad / se / encuentra, en parte, al saldar esas / incongruencias. Es la tranquilidad de saber que nuestra / manera de pensar acompaña nuestra manera de sentir y que
p73 | imgs:0 | chars:  960 | maquinaria pesada del subdesarrollo emocional que nos / quiere consumidores y pacientes. Y ser paciente de esta / realidad es una sociopatía. / Puede ser de manera inconsciente, pero no reparar en las / fallas del orden 
p74 | imgs:0 | chars:  911 | Existe la mentira: el fruto de esconder mezquindades detrás / de argumentos nobles. / Existen los ingenuos. / Existen los desatendidos. Esquivos de la empatía. / Existen los que no saben qué hacer y eligen la evasión. / 
p75 | imgs:0 | chars:  462 | hasta en las soluciones que propongo. Pero tengo un principio / noble y tengo muchas razones para creer que lo que digo está / amparado por ese principio, para confiar en algunos y para / dudar de un montón. / Decir lo q
p76 | imgs:1 | chars:    2 | 76
p77 | imgs:1 | chars:  760 | De tanto esquivar soledad / Ya no hay nada que me espante / Todo lo que tuve una vez / Hoy, es ayer / Hoy, es distante / De nada vale recordar lo que fuera algún día
p78 | imgs:1 | chars:  113 | “Si me ves volver, / no me atiendas / ni me abras la / puerta. / Loco, solitario / y enredado,
p79 | imgs:0 | chars: 1348 | “Ricardo y la libertad” fue el borrador en el que comencé a / compilar letras que me gustaban y en el que plasmé en papel / algunas reflexiones y pensamientos. / No todo es tan lineal ni responde a un principio de causal
